Location,Address,City,STATE,Zip,Manufacturer,Year Built
Medical Office Building/Engineering,521 W State Road 434/3Rd Fl,Longwood,FL,32750,Rite,1985
Oak Grove Middle School,1370 S Belcher Road/Kitchen,Clearwater,FL,34624,Cleveland Range,1985
Brooksville Elementary,885 Broad St/Brooksville Es,Brooksville,FL,34601,Cleveland Range,1985
Central Fl Community College,3001 Sw College Rd/Bldg 5,Ocala,FL,34474,Weil Mclain,1985
Motel 6 #483,333 E Fowler Ave/Blrm/#483,Tampa,FL,33612,Raypak,1985
Dundee Elementary,207 Lake Ave/Blr Rm,Haines City,FL,33844,Aldrich,1985
Winter Haven Sr High,600 6Th St Se/Blrm/Winter Haven Hs,Winter Haven,FL,33881,Bryan,1985
Winter Haven Sr High,600 6Th St Se/Blrm/Winter Haven Hs,Winter Haven,FL,33881,Bryan,1985
Yulee Primary School,86426 Goodbread Dr/Rm 07-28,Yulee,FL,32097,Cleaver Brooks,1985
Yulee Primary School,86426 Goodbread Dr/Rm 07-28/#0271,Yulee,FL,32097,Cleaver Brooks,1985
The Florida Hotel,1500 Sand Lake/Blr Rm,Orlando,FL,32809,A O Smith Water Products Co,1985
Motel 6,333 E Fowler Ave/Blrm/#483,Tampa,FL,33612,Raypak,1985
The Florida Hotel,1500 Sand Lake Rd/Blr Rm,Orlando,FL,32809,A O Smith Water Products Co,1985
The Florida Hotel,1500 Sand Lake Rd/Blr Rm,Orlando,FL,32809,A O Smith Water Products Co,1985
Gretna Elementary,706 Ml King/Bldg 5/Gretna Es,Gretna,FL,32332,Hurst,1985
St Johns Elementary,4463 Bainbridge/St Johns Es,Quincy,FL,32351,Hurst,1985
Sebastian Elementary,400 Cr/Sebastian Elem/Blr Rm,Sebastian,FL,32958,Bryan,1985
Dupuis Elementary,1150 W 59 Pl/Dupuis Es/Blrm,Hialeah,FL,33012,Cleaver Brooks,1985
College Park Communites,700 N Woodward/Blrm,Tallahassee,FL,32304,Industrial Boiler,1985
College Park Communities,700 N Woodward/Blrm,Tallahassee,FL,32304,Industrial Boiler,1985
Baptist Manor Nursing Home,10095 Hillview Dr/Stat#1 Blr Rm,Pensacola,FL,32514,Raypak,1985
Jackson County Courthouse,4445 Lafayette/Bsmt,Marianna,FL,32446,Burnham,1985
Recreation Center,705 E 14Tst/Blr Rm,Panama City,FL,32401,Pvi Industries,1985
Surfside Condominium,1096 Scenic Gulf Hwy/Roof,Destin,FL,32550,Rite,1985
Surfside Owners Assoc,1096 Scenic Gulf Highway/Roof,Destin,FL,32550,Rite,1985
"Emmanuel,Sheppard & Condon",30 S Spring St/Yard,Pensacola,FL,32501,Raypak,1985
Marianna High,2979 Daniel St/Marianna Hs,Marianna,FL,32446,Burnham,1985
Frank M Golsom Elementary,800 2Nd Ave/Frank M Golsom Es/Kit,Marianna,FL,32446,Aldrich,1985
Delta Health Care Center,138 Sandestin Ln/Laundry,Sandestin,FL,32540,A O Smith Water Products Co,1985
County Jail,300 Nw Quintin Ave/O/S Blrm/Jail,Lake City,FL,32055,Pvi Industries,1985
County Jail,300 Florida/O/S Blrm/Jail,Lake City,FL,32055,Pvi Industries,1985
Jfk Medical Center/2Nd Flr Surgical N,5301 S Congress Ave/Engineering,Atlantis,FL,33462,Ao Smith(Due 8/13/99),1985
Palm Beach Cty School Of The Arts,3701 N Shore Dr/Kitchen,West Palm Beach,FL,33407,Teledyne Laars,1985
Palm Beach  Schl Of The Arts,3701 N Shore Dr/Pe Blr Rm,West Palm Beach,FL,33407,Teledyne Laars,1985
John'S Island Beach Club,350 Beach Road/Blrm,Vero Beach,FL,32960,A O Smith Water Products Co,1985
Opalocka Work Release Center,5400 Nw 135Th/Blr Rm,Opa Locka,FL,33054,A O Smith Water Products Co,1985
Grayl'S Hotel,340 Beach Drive Ne,St Petersburg,FL,33701,Rockmills,1985
Neighborhood Dry Cleaners,1101-123 Blanding Blvd,Orange Park,FL,32065,Columbia,1986
Town & Country Cleaners,1925 Park Ave/Blr Rm,Orange Park,FL,32073,Columbia,1986
Esquire Cleaners,10949 Mccormick Road,Jacksonville,FL,32216,Columbia,1986
The Clothes Spa,346 Se Port St Lucie Blvd,Port St Lucie,FL,34984,Stirmatic,1986
Diago Cleaners,1774 W 68Th Street,Hialeah,FL,33014,Fulton,1986
Majestic Cleaners Ii,9765 Sw 72Nd Street,Miami,FL,33173,Lattner,1986
Hurricane Dry Cleaners,10855 Sw 72Nd Street,Miami,FL,33173,Hotshot,1986
Singleton Cleaners,551 Mary Mcleod Bethune Blvd,Daytona Beach,FL,32114,Fulton,1986
G&G Dry Cleaners,229 Third Street,Neptune Beach,FL,32233,Fulton(Due 1'12'1#12),1986
Jonfor Cleaners,11700-1&2  San Jose Blvd,Jacksonville,FL,32223,Columbia,1986
Deluxe Cleaners & Laundry,1622 W Kennedy Blvd,Tampa,FL,33606,Hurst,1986
Coconut Palm Dry Cleaners,4413 Southern Boulevard,West Palm Beach,FL,33406,Industrial(9'29'01#292),1986
Lake Ida Cleaner,600 N Congress Ave - Ste 210,Delray Beach,FL,33445,Columbia,1986
Sterling Dry Cleaner,5971 S University Drive,Davie,FL,33328,Fulton,1986
Classic Cleaners,6393 9Th St N,St Petersburg,FL,33702,Industrial Boiler,1986
Ferguson Ridge Cleaners,1302 Lake Avenue,Lake Worth,FL,33460,Fulton,1986
Stat Dry Cleaners,185 Ne 59Th Street,Miami,FL,33138,Fulton,1986
Antonio'S Cleaners,1335 Ne 4Th Avenue,Ft. Lauderdale,FL,33304,Fulton,1986
Town & Country Cleaners,3402 West Vine Street,Kissimmee,FL,34741,Industrial Boiler,1986
Touch Of Class Cleaners,293 Cocoa Bch Cswy,Cocoa Beach,FL,32931,Columbia,1986
Penthouse Cleaners,4304 Curry Ford Road,Conway,FL,32806,Veit. Inc,1986
The 110 Tower Athletic Club/Locker Rm,110 Se 6Th Street,Ft Lauderdale,FL,33301,Rheem,1986
D & D Dry Cleaners,5317 North State Road 7,Tamarac,FL,33319,Fulton,1986
Prestge Cleaners,9075 Taft Street,Pembroke Pines,FL,33024,Columbia,1986
Fountainbleau Cleaners,10686 Nw 7Th Street,Miami,FL,33172,Industrial Boiler,1986
Stain Master Cleaners,7628 Nw 186Th Street,Miami,FL,33015,Fulton,1986
Best Care Cleaners,2779 Bird Avenue,Coconut Grove,FL,33133,Fulton,1986
Carriage Class Cleaners,4723 Del Prado Blvd,Cape Coral,FL,33904,Veit. Inc,1986
Doug Sand Cleaner,4850 Sw 8Th Street,Miami,FL,33134,Fulton,1986
Americlean Dry Cleaner,1144 University/Blr Rm,Pembroke Pines,FL,33024,Fulton,1986
Super Cleaner,6101 Sw 8Th Street,Miami,FL,33144,Fulton,1986
Dalal Of Miami Dry Cleaners,12600 Sw 8Th Street,Miami,FL,33184,Fulton,1986
T J Hollidays Cleaner,6276 N Federal Highway/Boiler Room,Ft Lauderdale,FL,33308,Fulton,1986
Bay County Resource Management Center,6510 Bayline Drive/Blr Rm/Engineering,Panama City,FL,32404,Deltak,1986
Lawtey Textiles/Pride Enterprises,22298 Ne Cr 200 B   Lawtey Corr,Lawtey,FL,32058,Reimers,1986
De-Champs Cleaners,4864 Sontel,Jacksonville,FL,32208,Williams & Davis,1986
Amelia Island Plantation/Laundry,1501 Lewis St(Business Licenses),Amelia Island,FL,32035,Fulton(Due 5'29'2#12),1986
Craft Cleaners,304 Eglin Parkway Ne,Ft Walton Beach,FL,32548,Fulton,1986
Davisons Cleaners,325 N Bridge Street/Blr Area,Labelle,FL,33935,Industrial Boiler,1986
Naples Grande Resort & Club,475 Seagate Dr/Women'S Stm Rm,Naples,FL,34103,Auto Steam,1986
Holiday Plaza Fieweh Cleaners,9147 Taft Street,Pembroice Pine,FL,33024,Fulton,1986
Four Ambassadors,801 Brickell Bay/Blr Rm,Miami,FL,33131,Cleaver Brooks,1986
Crown Cleaners,12117 Dixie/Blr Rm,Miami,FL,33156,Lattner,1986
Personal Touch Cleaners,8455 W Oakland Pk Blvd,Sunrise,FL,33351,Thermo Steam,1986
Pierre'S French Cleaners,274 Alhambra Circle,Coral Gables,FL,33134,Fulton,1986
A G. Holley Hospital,1199 W Lantana/Blrm/Engin,Lantana,FL,33462,Cleaver Brooks,1986
Indian River Research Education Ctr,2199 S Rock Rd/Autoclave,Ft Pierce,FL,34945,Consolidated,1986
Lorraine,7904 Pines Blvd,Pembroke Pines,FL,33024,Thermo Steam,1986
Memorial Hospital Pembroke,7800 Sheridan Road/Blrm,Pembroke Pines,FL,33021,Kewanee,1986
Memorial Hospital Pembroke,7800 Sheridan Road,Pembroke Pines,FL,33024,Kewanee,1986
Belk,5100 N 9Th Avenue/Alterations,Pensacola,FL,32504,Lattner,1986
Magic Cleaners,2738 N Hiawasse Road,Orlando,FL,32818,Fulton,1986
Seven Rivers Regional Med Ctr,6201 N Suncoast Blvd,Crystal River,FL,34108,Bryan,1986
Seven Rivers Regional Med Ctr,6201 N Suncoast/Blrm,Crystal River,FL,34428,Bryan,1986
Edward White Hospital,2323 9Th Ave North/Blrm,St. Petersburg,FL,33713,Sellers,1986
Edward White Hospital,2323 9Th Avenue North/Blrm,St. Petersburg,FL,33713,Sellers,1986
Marriott At Sawgrass,1000 Pga Blvd/Ldry,Ponte Vedra Beach,FL,32082,Fulton,1986
Mt Sinai Medical Center,4300 Alton Road/Laundry,Miami Beach,FL,33140,Fulton,1986
Cavalier Cleaners,2913 N Jefferson Street,Marianna,FL,32446,Industrial Boiler,1986
Rupert'S Cleaners,2320 Jenks Avenue,Panama City,FL,32405,Fulton,1986
The Registry Resort,475 Seagate Dr/Blr Rm,Naples,FL,34103,Industrial Boiler,1986
Sunrise Cleaners,1504 W Vine Street,Kissimmee,FL,34741,Columbia,1986
Hanson Cleaners,12963 Walsingham Road,Largo,FL,33774,Industrial Boiler,1986
Prestige Dry Cleaners,7509 W Hillsborough Avenue,Tampa,FL,33615,Industrial Boiler,1986
Friendly Cleaners,2345 E Michigan,Orlando,FL,32806,Fulton,1986
Magical Dry Cleaners,1901 W Vine Street,Kissimmee,FL,34741,Industrial Boiler,1986
American Drive-In Cleaners,4178 Herschel Street,Jacksonville,FL,32210,Industrial Boiler,1986
Quality Cleaners,199 S Court,Miami,FL,33147,Fulton,1986
White Swan Cleaners Inc,16100 Collins Ave,Miami,FL,33160,Fulton,1986
Scott'S Northwood Cleaners,2454 N Mcmullen Booth Blvd,Clearwater,FL,33759,Industrial Boiler,1986
Burdines,303 Us Hwy 301/Desoto Square Mall,Bradenton,FL,34205,Lattner,1986
9Th Avenue Dry Cleaners,6145 9Th Avenue North,St. Petersburg,FL,33710,Veit. Inc,1986
Miramar Dry Cleaners,6336 Miramar Parkway,Miramar,FL,33023,Fulton,1986
Dryclean Usa,7220 Southgate Blvd,Pompano Beach,FL,33068,Fulton,1986
Pine Cleaners,8911 Pembroke Road,Pembroke Pines,FL,33302,Thermo(Hsb Cancelled2'97,1986
Ardon'S Cleaners,2565 Forest Hills Blvd,West Palm Beach,FL,33406,Columbia,1986
Renaissance Boca Raton,2000 Nw 19Th Street,Boca Raton,FL,33431,Cleaver Brooks,1986
Mcnatt'S Cleaners,6210 N Florida Avenue,Tampa,FL,33604,Fulton,1986
Mcnatt'S Cleaners,6210 N Florida Ave,Tampa,FL,33604,Fulton,1986
Prestige Cleaners,3044 W Tharpe St,Tallahassee,FL,32303,Fulton,1986
Baptist Medical Center,800 Prudential Dr/Engergy Ctr,Jacksonville,FL,32207,Conseco,1986
Hilton Hotel,1601 Biscayne Blvd/Blr Rm,Miami,FL,33132,Industrial Boiler,1986
Coral Way Cleaners,360 Sevilla Avenue,Coral Gables,FL,33134,Fulton,1986
Regal Cleaners,4122 Palm Ave/Blr Rm,Hialeah,FL,33012,Fulton,1986
Fairmont Turnberry Isle Resort & Club,19999  W Country Club/Ldry Blr,Aventura,FL,33180,Industrial Boiler,1986
Personal Touch Cleaners,3761 South Nova Road -Suite D,Port Orange,FL,32119,Fulton,1986
House Of Clean,760 North Hastings Street,Orlando,FL,32808,Industrial Boiler,1986
House Of Clean,760 Hastings Avenue /Blr Rm,Orlando,FL,32808,Veit. Inc,1986
Alafaya Dry Cleaners,11792 E Colonial Drive,Orlando,FL,32817,Fulton,1986
Frontier Cleaners,1310 N John Young/Blr Rm,Kissimmee,FL,34741,Industrial Boiler,1986
South Florida Baptist Hospital,301 N Alexander/Blr Rm,Plant City,FL,33563,Cleaver Brooks,1986
South Baptist Hospital,301 N Alexander St/Blrm,Plant City,FL,33566,Cleaver Brooks,1986
Concord Custom Cleaners(403 Insp 10/18/1,4081 E Olive Rd(Early/W.Y.),Pensacola,FL,32514,Lattner(403 Insp 3/5/1),1986
Westside Skills Center #280,7450 Wilson Blvd/Blrm/#280,Jacksonville,FL,32210,Industrial Boiler,1986
Sanlando Center,2180 S R 434 W- Ste 1166/Eqrm,Longwood,FL,32709,Brasch,1986
Tallahassee Community Hospital,2656 Capital Medical/Blr Rm,Tallahassee,FL,32308,Cleaver Brooks,1986
Burdines,451 Altamonte Ave,Altamonte Springs,FL,32701,Lattner(7'11'01#12),1986
Capital Regional Medical Center,2626 Capital Medical/Blr Rm,Tallahassee,FL,32308,Cleaver Brooks,1986
Classic Cleaners,1341 E Vine Street,Kissimmee,FL,34744,Fulton,1986
Tribune Company,333 Sw 12Th Avenue/Ink Rm,Deerfield Beach,FL,33441,Chromalox,1986
A1 Quality Cleaners,3420 Tampa/Pit,Palm Harbor,FL,34684,Fulton,1986
Lifestyle Health Spa/Blr Rm(#199 10/3/1),933 E Lemon St/Engineering(Cv 10'1),Lakeland,FL,33801,Lattner(Due 10'01#11),1986
Destin Elementary School,633 Kelly Street/Kitchen,Destin,FL,32541,Vulcan Hart,1986
Baker School,1369 14Th St/Baker Schl/Rm038,Baker,FL,32531,Pvi,1986
La Quinta Inn,21338 Us Highway 19/Equip Rm,Clearwater,FL,33765,Raypak,1986
Wash & Dry Station,9784 66Th St N,Pinellas Park,FL,34665,Industrial Boiler,1986
Howard Johnson/Blr Rm,4601 - 34 St S/Engineering,St. Petersburg,FL,33711,Lochinvar Corporation,1986
Howard Johnson'S Inn,4601 34Th St S/Blr Rm,St. Petersburg,FL,33711,Lochinvar Corporation,1986
Holiday Inn,7859 Lake Worth/Blrm 203,Lake Worth,FL,33467,A O Smith Water Products Co,1986
Atlantis Coin Laundry,6078 Congress Ave,Lantana,FL,33462,Ao Smith(8'25'01#15),1986
Barnacle Bill'S Restaurant,1830 N Monroe/Kitchen,Tallahassee,FL,32303,"Market Forge Industries, Inc.",1986
First Baptist Church,622 Bayshore/Outside,Niceville,FL,32578,Raypak,1986
Scottish Inn,2300 Phillips Hwy/Laundry,Jacksonville,FL,32207,Aldrich,1986
Scottish Inn,2300 Phillips Hwy/Blr Rm/Engin,Jacksonville,FL,32207,Aldrich,1986
La Quinta Inn/Engineering,999 W Cypress Creek Rd/Blr Rm,Ft Lauderdale,FL,33309,Lochinvar Corporation,1986
Odyssey Restaurant,6289 West Sunrise Blvd/Outside Rear,Sunrise,FL,33313,Rheem,1986
Bayfront Inn,1221 Fifth Ave South/Blr Rm,Naples,FL,34102,Lochinvar Corporation,1986
Hilton Ocean Front Hotel,3700 N Ocean Dr/Blr Rm,Singer Island,FL,33404,Lochinvar Corporation,1986
Pga Coin Laundry,2530 Pga Blvd/Blr Rm,Palm Beach Gardens,FL,33410,A O Smith Water Products Co,1986
La Quinta,5981 Okeechobee/Bkr Rn,West Palm Beach,FL,33417,Ace Buehler,1986
Inn Of Naples,4055 Tamiami Trail N/Outside,Naples,FL,33940,Raypak,1986
Columbian Apartments,518 3Rd Ave S/Outside,St Petersburg,FL,33701,Teledyne Laars,1986
The Heritage,234 3Rd Ave N/Basement,St Petersburg,FL,33701,Raypak,1986
Freedom Square The Inn & Nursing Ctr,10801 Johnson Blvd/Blr Rm,Seminole,FL,33772,Raypak,1986
Brookdale Senior Living/Arc,10801 Johnson Blvd/Fsnc 1St Fl,Seminole,FL,33772,Raypak,1986
Brookdale Senior Living/Arc,10801 Johnson Blvd/Fsnc 1St Fl,Seminole,FL,33772,Bryan,1986
Purcell Elementary School,305 First Ave Ne/Blr Rm,Mulberry,FL,33860,Pvi,1986
The Pavilion At Crossing Point,9309 S Orange Blossom/Blr Rm,Orlando,FL,32837,Lochinvar Corporation,1986
Royal Plaza Hotel/Larry Thompson,1905 Hotel Plaza Blvd/Blr Rm,Orlando,FL,32830,Raypak,1986
Ymca Treasure Coast,1700 Se Monterey/2Nd Flr,Stuart,FL,34996,A O Smith Water Products Co,1986
Wash Bowl,14001 Nw 27Th Avenue/Blr Rm,Opa Locka,FL,33054,A O Smith Water Products Co,1986
La Plava Llc,9891 Gulfshore Dr/Kitchen,Naples,FL,33963,Garland,1986
Port St Lucie Nursing Center,7300 Oleander/Station C,Port St Lucie,FL,34952,Pvi,1986
Port St Lucie Nursing Center,7300 Oleander/Station B,Port St Lucie,FL,34952,Pvi,1986
North Shore Elementary #70,5701 Silver Plaza/Machine Rm/#70,Jacksonville,FL,32208,H B Smith,1986
Andrew Jackson High School #35,3816 Main St/Blrm/ #35,Jacksonville,FL,32206,Cleaver Brooks,1986
Florida Air National Guard Bldg 28,14300 Fang Dr/Engineering,Jacksonville,FL,32218,Aldrich,1986
Central Manor Apts,136 Fairview Ave/Blr Rm,Daytona Beach,FL,32114,State,1986
Holiday Inn University,12125 High Tech Ave/6 Fl Blrm,Orlando,FL,32817,Raypak,1986
Federation Plaza Nursing Home,3081 Taft Street/Blr Rm,Hollywood,FL,33021,Lochinvar Corporation,1986
Bloomingdales,5840 Glades/3D Blr Rm,Boca Raton,FL,33451,Pvi Industries,1986
Doral Saturnia Spa,8755 Nw 36Th St/Eqrm/Engineering,Miami,FL,33166,Teledyne Laars,1986
Pinnacle Port Condo,23223 Front Beach/Blr Rm,Panama City Beach,FL,32413,Raypak,1986
First United Methodist Church,103 First St Se/Blr Rm Outside,Ft Walton Beach,FL,32548,Weben Jarco,1986
Schwartz And Heimers,1931 East Hallandale Beach Boulevard,Hallandale,FL,33009,Hydrotherm,1986
Guesthouse Inn & Suites,1306 N 14 St Conf. Ctr/Blr Rm,Leesburg,FL,34748,Teledyne Laars,1986
Miami International Airport Hotel,Nw 20 St & Lejeune Rd/Kitchen Blr Roof,Miami,FL,33299,Bryan,1986
Wine Cellar Restaurant,17307 Gulf Blvd/Kitchen,N Redington Beach,FL,33708,Vulcan Hart,1986
Loretto Elementary #30,3900 Loretto/Kit/#30 Loretto Es,Jacksonville,FL,32223,Cleveland Range,1986
Emeritus At Bayside Terrace,9381 Us 19/Roof,Pinellas Park,FL,33782,Bryan,1986
Miami-Carol City Senior,3422 Nw 187 St/Trailer/Miami-Carol City,Miami,FL,33055,Aldrich,1986
Jeb Stuart Middle School #207,4815 W Connett/#207/Blrm,Jacksonville,FL,32210,Cleaver Brooks,1986
Carlisle Diagnostic Imaging Ctr,1240 S Fort Harrison Ave/Blrm,Clearwater,FL,33756,Peerless,1986
Atria Senior Living Group,3061 Donnelly Dr,Lantana,FL,33462,Lochinvar Corporation,1986
Atria Baypoint Village,7927 State Road 52,Hudson,FL,34667,Lochinvar Corporation,1986
Meadowlane Elementary,4280 W 8Th Ave/Meadowlane Es,Hialeah,FL,33012,Cleaver Brooks,1986
Miami Springs Elementary,51 Park/Miami Sprgs Es Blrm 3,Miami Springs,FL,33166,Aldrich,1986
Clewiston Central Elementary,1000 S Deane Duff Ave / Blrm,Clewiston,FL,33440,Lochinvar Corporation,1986
Pinecrest Place,1150 8Th Ave/Blr/Ctrl Supply,Largo,FL,33770,Pvi,1986
Pinecrest Place,1150 8Th Ave/Blrm/C Stor,Largo,FL,33770,Pvi,1986
Pinecrest Place,1150 8 Ave/Bl Rm/C Stor,Largo,FL,33770,Pvi,1986
Pinecrest Place,1150 8Th Ave/9Th Flr S,Largo,FL,33770,Pvi Industries,1986
Pinecrest Place/9Th Flr South,1150 8Th Avenue Sw,Largo,FL,33770,Raypak,1986
Pinecrest Place,1150 8Th Ave/9Th Flr Blr N,Largo,FL,33770,Pvi Industries,1986
Pinecrest Place,1150 8Th Ave/9Th Flr Blr N,Largo,FL,33770,Pvi,1986
Shenandoah Elementary,4827 S Conway Rd/Kitchen,Orlando,FL,32809,"Market Forge Industries, Inc.",1986
Winter Park 9Th Grade Ctr,523 Huntington Ave/Kitwinter Prk 9Th,Winter Park,FL,32789,Cleveland Range,1986
Washington Shores Elementary School,944 West Lake Mann Dr/Kitchen,Orlando,FL,32805,Cleveland Range,1986
Spring Lake Elementary/Kitchen,115 Spring Lake Circle N,Ocoee,FL,34761,Cleveland Range,1986
Clarcona Elementary School,3607 Damon Road/Kitchen,Apopka,FL,32703,Cleveland Range,1986
Florida State University,114 Mendenhall/Cpd,Tallahassee,FL,32306,Weil Mclain,1986
Apalachee Correctional,Hwy 90 East/B Dorm/Apalachee,Sneads,FL,32460,Industrial Boiler,1986
Apalachee Correctional Inst,Hwy 90 East/A Dorm/Apalachee,Sneads,FL,32460,Industrial Boiler,1986
Apalachee Correctional Inst,Hwy 90 E/G Dorm/Apalachee,Sneads,FL,32460,Industrial Boiler,1986
Apalachee Correctional Inst,Highway 90 East/G Dorm W Unit,Sneads,FL,32460,Industrial Boiler,1986
Tacachale/Children & Family Services,1621 Ne Waldo Rd/Bldg 40,Gainesville,FL,32609,Sellers,1986
J. J. Finley Elementary,1912 Nw 5Th Ave/Jj Finley Es/Bsmt,Gainesville,FL,32603,Weil Mclain,1986
High Springs Elementary,1015 N Main St/High Sprgs Es,High Springs,FL,32643,Weil Mclain,1986
Lafayette High,Hwy 27 W/Lafayette Hs/Blrm,Mayo,FL,32066,Industrial Boiler,1986
Ridgeview High School,466 Madison Ave/Kit/Ridgeview Hs,Orange Park,FL,32073,"Market Forge Industries, Inc.",1986
Ridgeview High School,466 Madison Ave/Kit/Ridgeview Hs,Orange Park,FL,32073,"Market Forge Industries, Inc.",1986
Orange Park High School,2300 Kingsley/Blrm/Or Prk Hs,Orange Park,FL,32073,Weil Mclain,1986
Ramada Inn,7601 Scenic Hwy/Blrm,Pensacola,FL,32504,Teledyne Laars,1986
Ramada Inn,7601 Scenic Hwy/Blrm,Pensacola,FL,32504,Teledyne Laars,1986
New Police Headquarters,711 N Hayne St/Blr Rm,Pensacola,FL,32501,Rite,1986
Columbia Hospital,2201 45Th St/Pavillion,West Palm Beach,FL,33407,Cleaver Brooks,1986
Healthsouth Rehab,1675 Riggins Rd/Blr Rm,Tallahassee,FL,32308,Pvi,1986
Healthsouth Rehab,1675 Riggins Rd/Blr Rm,Tallahassee,FL,32308,Pvi,1986
Ft Walton Beach Medical Ctr/Or Mech Rm,1000 Marwalt Drive,Ft Walton,FL,32547,Bryan,1986
Bay Behavioral Health Center,1940 Harrison/Mech Rm 113,Panama City,FL,32401,Teledyne Laars,1986
Port St Lucie Hospital,2550 Se Walton Road/Blr Rm,Port St Lucie,FL,33450,Teledyne Laars,1986
Ramada Inn/Blr Rm,1035 Hwy A1A/Engineering,Satellite Beach,FL,32937,A O Smith Water Products Co,1986
Ramada Inn,1035 Hwy Aia/Mech Rm,Satellite Beach,FL,32937,A O Smith Water Products Co,1986
Ramada Inn,1035 Hwy A1A/Mech Rm,Satellite Beach,FL,32937,A O Smith Water Products Co,1986
Vero Beach Hotel & Club,3500 Ocean Dr/Roof,Vero Beach,FL,32963,Lochinvar Corporation,1986
Vero Beach Hotel & Club,3500 Ocean Dr/Roof,Vero Beach,FL,32963,Lochinvar Corporation,1986
Four Points Hotel Tampa East/Blr Rm,7401 E Hillsborough Ave,Tampa,FL,33601,Teledyne Laars,1986
Four Points Hotel Tampa East/Blr Rm,7401 E Hillsborough Ave,Tampa Bay,FL,33601,Teledyne Laars,1986
Northside Hospital,6000 49Th St N/Blr Rm,St Petersburg,FL,33709,Pvi Industries,1986
Pro Player Stadium/Blr Rm,2269 Nw 199Th Street,Miami,FL,33056,Lochinvar Corporation,1986
Pro Player Stadium/Blr Rm,2269 Nw 199 Street,Miami,FL,33056,Lochinvar Corporation,1986
Usf/Attn: C Horan/Maintenance,3515 E Fletcher Ave/Psych Ctr,Tampa,FL,33606,Pvi,1986
Jacksonville University,2800 University/Founders Bldg,Jacksonville,FL,32211,Cleaver Brooks,1986
Shands At Starke,922 E Call/Blr Rm,Starke,FL,32091,York Shipley,1986
Shands At Starke,922 E Call/Blr Rm,Starke,FL,32091,York Shipley,1986
Shands Rehab/Shands At Vista,4101 Nw 89Th Blvd/Mech/Rehab,Gainesville,FL,32606,Teledyne Laars,1986
Shands Rehab/Shands At Vista,4101 Nw 39Th Blvd/Mech/Rehab,Gainesville,FL,32606,Teledyne Laars,1986
Howard Middle School,1108 M. L. K. Ave/Howard Ms,Ocala,FL,34475,Burnham,1986
Howard Middle School,1108 M. L. K. Ave/Howard Ms,Ocala,FL,34475,Burnham,1986
South Ocala Elementary,2831 Se Lake Weir Ave.,Ocala,FL,34471,Cleaver Brooks,1986
Chipola Community College,3094 Indian Cir/Kitchen,Marianna,FL,32446,"Market Forge Industries, Inc.",1986
Chipola Community College,3094 Indian Cir/Admi.,Marianna,FL,32446,Peerless,1986
Chipola Community College,3094 Indian Cir/Health Building,Marianna,FL,32446,A O Smith Water Products Co,1986
Rutherford High,1000 School Ave/Gym 109,Panama City,FL,32401,Weil Mclain,1986
Southport Elementary,1835 Bridge St/Southport Es,Panama City,FL,32409,Peerless,1986
Northside Elementary School,2001 Northside Dr/Northside Es,Panama City,FL,32405,"Market Forge Industries, Inc.",1986
Northside Elementary School,2001 Northside Avenue/Bldg 4,Panama City,FL,32405,Weil Mclain,1986
Parker Elementary/Kitchen,640 S Highway 22A,Panama City,FL,32404,"Market Forge Industries, Inc.",1986
Spencer Bibbs Elementary,2005 N 6Th Ave/Kitchen,Pensacola,FL,32503,A O Smith Water Products Co,1986
Westminster Asbury Manor,1700 21St Ave W/Eqrm,Bradenton,FL,34205,Bryan,1986
Westminster Asbury Manor,1700 21St Ave W/Eqrm,Bradenton,FL,34205,Bryan,1986
Watchtower Bible Church/Blr Rm,208 Avenue & Griffin Road,Ft. Lauderdale,FL,33332,Lochinvar Corporation,1986
Convention Center,1000 W Water St/Convention Ctr,Jacksonville,FL,32202,Cleaver Brooks,1986
Convention Center,1000 W Water St/Convention Ctr,Jacksonville,FL,32202,Cleaver Brooks,1986
Estero High School,21900 River Ranch Rd/Estero Hs,Estero,FL,33928,Pvi Industries,1986
St Petersburg High,2501 5Th Ave N/St Pete Hs,St Petersburg,FL,33705,Bryan,1986
St Petersburg High School,2501 5Th Ave N/St Pete Hs,St Petersburg,FL,33705,Bryan,1986
Ben Hill Jr School,5200 Ehrlich Rd/Kit/Ben Hill Jr,Tampa,FL,33624,Pvi Industries,1986
Grady Elementary/Blr Rm/Gary Bailey,3910 Morrison Ave,Tampa,FL,33629,Hurst,1986
Grady Elementary,3910 Morrison/Kit/Grady Ele,Tampa,FL,33629,Columbia,1986
Robinson Sr High School,6311 St Louis Ave / Blrm,Tampa,FL,33616,Columbia,1986
Egypt Lake Elementary,6707 N Glen Ave/Egypt/Blr Rm,Tampa,FL,33602,Columbia,1986
Egypt Lake Elementary/Gary Bailey,6707 N. Glen Avenue/Blr Rm,Tampa,FL,33614,Columbia,1986
Anderson Elementary,3910 Fair Oaks/Blrm/Anderson Ele,Tampa,FL,33611,Hurst,1986
Plant City High,1 Raider Place/Blr Rm,Plant City,FL,33566,Hurst,1986
Plant City High,1 Raider Place/Blr Rm,Plant City,FL,33566,Hurst,1986
Turkey Creek Middle School,5005 S Turkey Creek Road / Blrm,Plant City,FL,33567,Hurst,1986
Mango Elementary,4220 Cr 579/Blr Rm,Seffner,FL,33584,Hurst,1986
