Location,Address,City,STATE,Zip,Manufacturer,Year Built
Coral Terrace Elementary,6801 Sw 24Th St/Coral Terrace Es,Miami,FL,33155,Cleaver Brooks,1957
Everglades Elementary,8375 Ws 16Th St/Everglades Es,Miami,FL,33155,Continental,1957
Mcnicol Middle School/Blr Rm,1411 S 28Th Avenue,Hollywood,FL,33020,B E & S,1957
Mcnichole Middle School/Kitchen,1411 S 28Th Avenue,Hollywood,FL,33020,Continental,1957
Norcrest Elementary School,3951 Ne 16Th Ave/Norcrest Es,Pompano Beach,FL,33060,Continental,1957
Leesburg High,1407 W Meadow Ave/Blr Rm,Leesburg,FL,34748,Kewanee,1957
Ponce De Leon Hotel(Cv: Corr. 5/29/2),4000 Us 1/Blr Rm/L. Woodard,St Augustine,FL,32095,Cleaver Brooks,1957
Highland Elementary #99,1000 Depaul Drive/Mach Rm,Jacksonville,FL,32218,Continental,1957
St Christopher Episcopal Church,3200 N 12 Ave/Child Cnt Blr Rm,Pensacola,FL,32503,American Standard,1957
Travel Lodge,6300 Gulf Blvd/Blr Rm,St Petersburg,FL,33706,Kewanee,1957
Travel Lodge,6300 Gulf Blvd/Blr Rm,St Petersburg,FL,33706,Kewanee,1957
First United Methodist Church,303 N Evers St/Blr Rm,Plant City,FL,33566,Atlantic Steel,1957
Holly Hill Middle School,1200 Center Ave/Holly Hill Ms,Holly Hill,FL,32117,Weil Mclain,1957
Kindred Hospital Of North Florida,801 Oak St/Blr Rm/Dir Of Ops,Green Cove Springs,FL,32043,Continental,1957
Ed Fraser Memorial Hospital,159 North 3Rd Street/Blr Rm,Macclenny,FL,32063,Weil Mclain,1957
Southside Elementary,45 Sw 13Th St/Southside Es,Miami,FL,33130,Cleaver Brooks,1957
Marineland Of Florida,9507 Ocean Shores Blvd/Pink Motel,Marineland,FL,32086,National Us,1957
Whiddon Rogers Ed Ctr,700 Sw 26 St/Blrm,Ft. Lauderdale,FL,33315,York Shipley,1957
First Baptist Church,1005 Ohio Avenue /2Nd Fl Blrm,Lynn Haven,FL,32444,Rite,1957
St Christopher Episcopla Church,3200 N 12 St/Church Blr Rm,Pensacola,FL,32503,American Standard,1957
Palm Springs Middle School,1025 W 56 St/Palm Sprgs Ms/Blrm,Hialeah,FL,33012,B.E. & S. Co,1957
Tomlinson Adult Education Ctr,296 Mirror Lake Dr/Blrm/Center Of Bldg,St Petersburg,FL,33705,Kewanee,1957
Malone High,5361 9Th St/Malone Hs,Malone,FL,32445,Rite,1957
Malone High,5361 9Th St/Malone Hs/Kit,Malone,FL,32445,Dewey Shepard,1957
Baker Corrections,Highway 90 East/Laundry/Baker,Sanderson,FL,32087,Cleaver Brooks,1958
Florida State Hospital,Us Hwy 90/Blr Rm,Chattahoochee,FL,32324,Riley Stoker(4'9'2#244),1958
First Church Of Christ Scientist,650 New York/Basement,Winter Park,FL,32789,Portmar,1958
Quality Inn/Blr Rm,2373 Nw Le Juene Rd/Engineering,Miami,FL,33142,York Shipley,1958
West Little River Elementary,2450 Nw 84 St/Blrm/W Little River Es,Miami,FL,33147,Cyclotherm,1958
